state,crime,Investigation not finalised,Investigation finalised - no offender proceeded against,Investigation finalised - offender proceeded against
NSW,1,33.00,3.00,48.00
Vic,1,37.00,4.00,47.00
Qld,1,11.00,0.00,72.00
SA,1,29.00,3.00,6.00
WA,1,14.00,0.00,29.00
Tas,1,0.00,3.00,5.00
NT,1,0.00,0.00,15.00
ACT,1,6.00,0.00,3.00
NSW,2,23.00,0.00,27.00
Vic,2,13.00,4.00,32.00
Qld,2,5.00,0.00,32.00
SA,2,9.00,3.00,0.00
WA,2,5.00,0.00,18.00
Tas,2,0.00,0.00,3.00
NT,2,0.00,0.00,4.00
ACT,2,0.00,0.00,4.00
NSW,3,10.00,4.00,16.00
Vic,3,10.00,0.00,9.00
Qld,3,0.00,0.00,35.00
SA,3,20.00,0.00,7.00
WA,3,7.00,0.00,7.00
Tas,3,0.00,0.00,4.00
NT,3,0.00,0.00,8.00
ACT,3,0.00,0.00,0.00
NSW,16,22571.00,11232.00,30886.00
Vic,16,np,np,np
Qld,16,np,np,np
SA,16,11113.00,3121.00,3939.00
WA,16,7256.00,21672.00,7247.00
Tas,16,1233.00,227.00,2100.00
NT,16,3959.00,1829.00,3266.00
ACT,16,1145.00,747.00,424.00
NSW,5,8196.00,2366.00,986.00
Vic,5,3819.00,1357.00,987.00
Qld,5,4295.00,1133.00,1465.00
SA,5,1500.00,177.00,105.00
WA,5,1978.00,1133.00,451.00
Tas,5,335.00,76.00,61.00
NT,5,161.00,93.00,100.00
ACT,5,269.00,56.00,13.00
NSW,6,71.00,18.00,120.00
Vic,6,79.00,6.00,64.00
Qld,6,8.00,7.00,14.00
SA,6,39.00,0.00,7.00
WA,6,3.00,4.00,5.00
Tas,6,0.00,0.00,3.00
NT,6,0.00,0.00,0.00
ACT,6,0.00,0.00,0.00
NSW,7,1147.00,97.00,787.00
Vic,7,1482.00,40.00,862.00
Qld,7,854.00,250.00,1382.00
SA,7,424.00,27.00,77.00
WA,7,545.00,152.00,496.00
Tas,7,52.00,4.00,70.00
NT,7,82.00,20.00,119.00
ACT,7,134.00,7.00,31.00
NSW,8,469.00,33.00,357.00
Vic,8,816.00,24.00,512.00
Qld,8,350.00,103.00,679.00
SA,8,214.00,15.00,44.00
WA,8,231.00,57.00,235.00
Tas,8,18.00,4.00,31.00
NT,8,37.00,8.00,53.00
ACT,8,71.00,0.00,16.00
NSW,9,675.00,65.00,429.00
Vic,9,661.00,20.00,346.00
Qld,9,506.00,143.00,699.00
SA,9,208.00,20.00,33.00
WA,9,317.00,91.00,258.00
Tas,9,35.00,3.00,36.00
NT,9,46.00,13.00,68.00
ACT,9,59.00,7.00,15.00
NSW,10,112.00,12.00,17.00
Vic,10,171.00,4.00,51.00
Qld,10,58.00,10.00,23.00
SA,10,95.00,11.00,0.00
WA,10,32.00,21.00,20.00
Tas,10,0.00,0.00,0.00
NT,10,0.00,0.00,3.00
ACT,10,6.00,0.00,0.00
NSW,11,24299.00,429.00,3476.00
Vic,11,26671.00,70.00,2973.00
Qld,11,29743.00,721.00,8443.00
SA,11,10038.00,185.00,498.00
WA,11,17662.00,1282.00,3465.00
Tas,11,2120.00,39.00,333.00
NT,11,3384.00,639.00,725.00
ACT,11,1849.00,16.00,46.00
NSW,12,14597.00,189.00,1761.00
Vic,12,17362.00,26.00,1536.00
Qld,12,17595.00,401.00,5425.00
SA,12,6526.00,81.00,275.00
WA,12,11511.00,776.00,2360.00
Tas,12,1619.00,26.00,255.00
NT,12,1445.00,162.00,422.00
ACT,12,1189.00,10.00,16.00
NSW,13,9697.00,237.00,1715.00
Vic,13,9314.00,39.00,1438.00
Qld,13,12146.00,318.00,3018.00
SA,13,3509.00,109.00,220.00
WA,13,6147.00,509.00,1101.00
Tas,13,505.00,13.00,79.00
NT,13,1941.00,474.00,299.00
ACT,13,662.00,7.00,26.00
NSW,14,8598.00,191.00,1122.00
Vic,14,10162.00,129.00,1842.00
Qld,14,8076.00,1682.00,4749.00
SA,14,3101.00,72.00,242.00
WA,14,4377.00,771.00,1431.00
Tas,14,953.00,45.00,205.00
NT,14,493.00,58.00,150.00
ACT,14,1199.00,14.00,59.00
NSW,15,81121.00,3056.00,10546.00
Vic,15,95481.00,511.00,10782.00
Qld,15,77037.00,14166.00,21186.00
SA,15,39838.00,889.00,1175.00
WA,15,53145.00,4602.00,8106.00
Tas,15,4433.00,227.00,1942.00
NT,15,3975.00,2088.00,441.00
ACT,15,7423.00,167.00,137.00
