year,gender,crime id,Under 18 years,18–34 years,35–54 years,55 years and over,,,
2010,male,2,12,44,53,21,,,
2011,male,2,6,47,60,38,,,
2012,male,2,12,62,55,25,,,
2013,male,2,10,59,55,31,,,
2014,male,2,11,50,66,19,,,
2015,male,2,14,55,50,31,,,
2016,male,2,14,47,62,27,,,
2017,male,2,13,42,74,19,,,
2018,male,2,12,41,55,29,,,
2019,male,2,11,51,70,28,,,
2020,male,2,8,42,64,28,,,
2021,male,2,16,42,60,22,,,
2010,female,2,11,26,34,25,,,
2011,female,2,13,29,28,17,,,
2012,female,2,6,32,20,20,,,
2013,female,2,0,33,38,19,,,
2014,female,2,18,30,29,20,,,
2015,female,2,18,24,32,14,,,
2016,female,2,5,26,22,22,,,
2017,female,2,4,16,24,18,,,
2018,female,2,14,13,25,33,,,
2019,female,2,5,24,21,23,,,
2020,female,2,11,20,21,18,,,
2021,female,2,5,21,13,10,,,
2010,unkown,2,28,72,92,42,,,
2011,unkown,2,19,76,92,54,,,
2012,unkown,2,23,96,78,45,,,
2013,unkown,2,9,97,88,43,,,
2014,unkown,2,29,80,90,39,,,
2015,unkown,2,24,81,80,46,,,
2016,unkown,2,21,75,83,51,,,
2017,unkown,2,15,55,97,42,,,
2018,unkown,2,24,51,84,62,,,
2019,unkown,2,13,78,86,52,,,
2020,unkown,2,21,63,85,47,,,
2021,unkown,2,16,58,74,34,,,
2010,male,3,11,45,59,13,,,
2011,male,3,16,63,44,21,,,
2012,male,3,6,51,42,17,,,
2013,male,3,7,57,39,4,,,
2014,male,3,5,34,43,19,,,
2015,male,3,6,43,39,5,,,
2016,male,3,5,50,40,22,,,
2017,male,3,13,54,37,16,,,
2018,male,3,13,27,35,14,,,
2019,male,3,12,48,39,7,,,
2020,male,3,9,26,42,11,,,
2021,male,3,11,41,26,8,,,
2010,female,3,14,21,22,12,,,
2011,female,3,4,18,16,9,,,
2012,female,3,11,19,15,4,,,
2013,female,3,10,17,14,4,,,
2014,female,3,4,15,21,12,,,
2015,female,3,14,22,15,11,,,
2016,female,3,6,29,26,19,,,
2017,female,3,8,20,24,8,,,
2018,female,3,7,16,10,5,,,
2019,female,3,6,15,11,7,,,
2020,female,3,14,15,7,4,,,
2021,female,3,0,23,21,4,,,
2010,unkown,3,26,67,81,24,,,
2011,unkown,3,19,81,63,26,,,
2012,unkown,3,12,69,58,24,,,
2013,unkown,3,15,79,51,16,,,
2014,unkown,3,15,46,64,25,,,
2015,unkown,3,19,59,50,17,,,
2016,unkown,3,16,73,67,40,,,
2017,unkown,3,18,69,65,25,,,
2018,unkown,3,22,38,46,20,,,
2019,unkown,3,17,65,48,16,,,
2020,unkown,3,17,43,50,13,,,
2021,unkown,3,12,62,47,13,,,
2010,male,4,6,6,7,5,,,
2011,male,4,0,3,11,5,,,
2012,male,4,3,15,8,5,,,
2013,male,4,0,8,5,3,,,
2014,male,4,3,3,5,4,,,
2015,male,4,3,9,13,3,,,
2016,male,4,8,3,4,6,,,
2017,male,4,5,10,8,5,,,
2018,male,4,3,3,11,5,,,
2019,male,4,3,8,4,14,,,
2020,male,4,4,8,16,3,,,
2021,male,4,15,4,3,5,,,
2010,female,4,3,4,0,3,,,
2011,female,4,3,4,3,0,,,
2012,female,4,3,0,0,0,,,
2013,female,4,3,0,3,3,,,
2014,female,4,0,4,0,0,,,
2015,female,4,0,0,0,0,,,
2016,female,4,7,3,0,0,,,
2017,female,4,3,3,3,5,,,
2018,female,4,0,0,0,5,,,
2019,female,4,3,4,0,3,,,
2020,female,4,5,3,3,3,,,
2021,female,4,4,0,3,0,,,
2010,unkown,4,9,7,7,3,,,
2011,unkown,4,0,6,13,3,,,
2012,unkown,4,10,15,14,9,,,
2013,unkown,4,3,6,10,3,,,
2014,unkown,4,3,8,5,10,,,
2015,unkown,4,3,7,13,5,,,
2016,unkown,4,7,9,4,4,,,
2017,unkown,4,6,11,18,12,,,
2018,unkown,4,3,3,11,12,,,
2019,unkown,4,6,17,9,13,,,
2020,unkown,4,8,8,19,9,,,
2021,unkown,4,18,6,9,12,,,
