year,crime_id,gender,AgeGroup,Value
2014,5,male,Less_than_6_months,2230
2014,5,male,_6_months_to_less_than_1_year,198
2014,5,male,_1_to_less_than_2_years,145
2014,5,male,_2_to_less_than_5_years,174
2014,5,male,_5_to_less_than_10_years,151
2014,5,male,_10_to_less_than_20_years,168
2014,5,male,_20_years_and_over,475
2015,5,male,Less_than_6_months,2291
2015,5,male,_6_months_to_less_than_1_year,165
2015,5,male,_1_to_less_than_2_years,154
2015,5,male,_2_to_less_than_5_years,179
2015,5,male,_5_to_less_than_10_years,149
2015,5,male,_10_to_less_than_20_years,198
2015,5,male,_20_years_and_over,746
2016,5,male,Less_than_6_months,2244
2016,5,male,_6_months_to_less_than_1_year,222
2016,5,male,_1_to_less_than_2_years,159
2016,5,male,_2_to_less_than_5_years,250
2016,5,male,_5_to_less_than_10_years,198
2016,5,male,_10_to_less_than_20_years,216
2016,5,male,_20_years_and_over,815
2017,5,male,Less_than_6_months,2415
2017,5,male,_6_months_to_less_than_1_year,222
2017,5,male,_1_to_less_than_2_years,200
2017,5,male,_2_to_less_than_5_years,207
2017,5,male,_5_to_less_than_10_years,187
2017,5,male,_10_to_less_than_20_years,231
2017,5,male,_20_years_and_over,1061
2018,5,male,Less_than_6_months,2240
2018,5,male,_6_months_to_less_than_1_year,356
2018,5,male,_1_to_less_than_2_years,230
2018,5,male,_2_to_less_than_5_years,185
2018,5,male,_5_to_less_than_10_years,181
2018,5,male,_10_to_less_than_20_years,141
2018,5,male,_20_years_and_over,773
2019,5,male,Less_than_6_months,2415
2019,5,male,_6_months_to_less_than_1_year,384
2019,5,male,_1_to_less_than_2_years,229
2019,5,male,_2_to_less_than_5_years,233
2019,5,male,_5_to_less_than_10_years,210
2019,5,male,_10_to_less_than_20_years,181
2019,5,male,_20_years_and_over,717
2020,5,male,Less_than_6_months,2189
2020,5,male,_6_months_to_less_than_1_year,353
2020,5,male,_1_to_less_than_2_years,276
2020,5,male,_2_to_less_than_5_years,309
2020,5,male,_5_to_less_than_10_years,238
2020,5,male,_10_to_less_than_20_years,200
2020,5,male,_20_years_and_over,703
2021,5,male,Less_than_6_months,2315
2021,5,male,_6_months_to_less_than_1_year,303
2021,5,male,_1_to_less_than_2_years,210
2021,5,male,_2_to_less_than_5_years,317
2021,5,male,_5_to_less_than_10_years,239
2021,5,male,_10_to_less_than_20_years,246
2021,5,male,_20_years_and_over,711
2014,5,female,Less_than_6_months,12675
2014,5,female,_6_months_to_less_than_1_year,801
2014,5,female,_1_to_less_than_2_years,718
2014,5,female,_2_to_less_than_5_years,830
2014,5,female,_5_to_less_than_10_years,714
2014,5,female,_10_to_less_than_20_years,621
2014,5,female,_20_years_and_over,741
2015,5,female,Less_than_6_months,12793
2015,5,female,_6_months_to_less_than_1_year,938
2015,5,female,_1_to_less_than_2_years,723
2015,5,female,_2_to_less_than_5_years,854
2015,5,female,_5_to_less_than_10_years,720
2015,5,female,_10_to_less_than_20_years,721
2015,5,female,_20_years_and_over,1164
2016,5,female,Less_than_6_months,13051
2016,5,female,_6_months_to_less_than_1_year,1087
2016,5,female,_1_to_less_than_2_years,845
2016,5,female,_2_to_less_than_5_years,1048
2016,5,female,_5_to_less_than_10_years,819
2016,5,female,_10_to_less_than_20_years,777
2016,5,female,_20_years_and_over,1216
2017,5,female,Less_than_6_months,14558
2017,5,female,_6_months_to_less_than_1_year,1235
2017,5,female,_1_to_less_than_2_years,1082
2017,5,female,_2_to_less_than_5_years,1232
2017,5,female,_5_to_less_than_10_years,976
2017,5,female,_10_to_less_than_20_years,859
2017,5,female,_20_years_and_over,1270
2018,5,female,Less_than_6_months,14949
2018,5,female,_6_months_to_less_than_1_year,1741
2018,5,female,_1_to_less_than_2_years,1116
2018,5,female,_2_to_less_than_5_years,1234
2018,5,female,_5_to_less_than_10_years,980
2018,5,female,_10_to_less_than_20_years,783
2018,5,female,_20_years_and_over,1292
2019,5,female,Less_than_6_months,14893
2019,5,female,_6_months_to_less_than_1_year,1726
2019,5,female,_1_to_less_than_2_years,1312
2019,5,female,_2_to_less_than_5_years,1272
2019,5,female,_5_to_less_than_10_years,953
2019,5,female,_10_to_less_than_20_years,819
2019,5,female,_20_years_and_over,1313
2020,5,female,Less_than_6_months,14294
2020,5,female,_6_months_to_less_than_1_year,1924
2020,5,female,_1_to_less_than_2_years,1606
2020,5,female,_2_to_less_than_5_years,1717
2020,5,female,_5_to_less_than_10_years,1374
2020,5,female,_10_to_less_than_20_years,1019
2020,5,female,_20_years_and_over,1242
2021,5,female,Less_than_6_months,16652
2021,5,female,_6_months_to_less_than_1_year,2043
2021,5,female,_1_to_less_than_2_years,1679
2021,5,female,_2_to_less_than_5_years,2012
2021,5,female,_5_to_less_than_10_years,1597
2021,5,female,_10_to_less_than_20_years,1138
2021,5,female,_20_years_and_over,1540
